Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,1096.00,658.00,7.00,Electronics,Electronic Games,COD
B-26055,5729.00,64.00,14.00,Furniture,Chairs,EMI
B-25955,2927.00,146.00,8.00,Furniture,Bookcases,EMI
B-26093,2847.00,712.00,8.00,Electronics,Printers,Credit Card
B-25602,2617.00,1151.00,4.00,Electronics,Phones,Credit Card
B-25881,2244.00,247.00,4.00,Clothing,Trousers,Credit Card
B-25696,275.00,-275.00,4.00,Clothing,Saree,COD
B-25687,387.00,-213.00,5.00,Clothing,Saree,UPI
B-25643,50.00,-44.00,2.00,Clothing,Hankerchief,UPI
B-25851,135.00,-54.00,5.00,Clothing,Kurti,COD
B-25703,231.00,-190.00,9.00,Clothing,Hankerchief,COD
B-25887,2125.00,-234.00,6.00,Electronics,Printers,EMI
B-25923,3873.00,-891.00,6.00,Electronics,Phones,Credit Card
B-25756,729.00,-492.00,5.00,Furniture,Bookcases,UPI
B-25761,2188.00,1050.00,5.00,Furniture,Bookcases,Credit Card
B-25655,6.00,-3.00,1.00,Clothing,Hankerchief,UPI
B-25786,1854.00,433.00,5.00,Furniture,Bookcases,Credit Card
B-26095,6.00,1.00,1.00,Clothing,Kurti,UPI
B-25853,2093.00,721.00,5.00,Furniture,Chairs,Credit Card
B-25735,7.00,-1.00,2.00,Clothing,Skirt,UPI
B-25910,1622.00,-624.00,5.00,Furniture,Tables,Credit Card
B-25950,1622.00,95.00,5.00,Electronics,Printers,Credit Card
B-25744,373.00,254.00,6.00,Electronics,Printers,UPI
B-25845,82.00,-33.00,4.00,Clothing,Kurti,COD
B-26001,8.00,2.00,2.00,Clothing,Skirt,UPI
B-25830,1954.00,782.00,3.00,Electronics,Phones,Credit Card
B-25842,1543.00,370.00,8.00,Electronics,Printers,Credit Card
B-25778,1506.00,-266.00,6.00,Electronics,Printers,Credit Card
B-25686,1829.00,-56.00,6.00,Furniture,Tables,Credit Card
B-25754,9.00,-1.00,3.00,Clothing,Skirt,UPI
B-26048,1461.00,202.00,5.00,Furniture,Tables,EMI
B-25816,391.00,113.00,8.00,Clothing,Stole,COD
B-26022,1824.00,1303.00,8.00,Electronics,Phones,Credit Card
B-25883,16.00,-15.00,4.00,Clothing,Hankerchief,UPI
B-26003,1745.00,122.00,2.00,Furniture,Tables,Credit Card
B-26097,663.00,-212.00,5.00,Electronics,Printers,UPI
B-25710,10.00,-1.00,1.00,Clothing,Leggings,UPI
B-25797,1630.00,802.00,5.00,Furniture,Tables,EMI
B-25618,12.00,0.00,2.00,Clothing,Hankerchief,UPI
B-25723,12.00,-7.00,2.00,Clothing,Leggings,UPI
B-25755,1709.00,564.00,3.00,Clothing,Trousers,Credit Card
B-25788,12.00,3.00,1.00,Clothing,Stole,UPI
B-25681,1625.00,-77.00,3.00,Electronics,Phones,EMI
B-25991,13.00,5.00,2.00,Clothing,Hankerchief,UPI
B-25779,1361.00,980.00,3.00,Furniture,Tables,COD
B-25909,1622.00,-448.00,3.00,Electronics,Phones,EMI
B-25943,1547.00,340.00,6.00,Electronics,Accessories,EMI
B-25935,1657.00,460.00,4.00,Furniture,Chairs,Credit Card
B-25613,1603.00,0.00,9.00,Clothing,Saree,Credit Card
B-25729,1549.00,-439.00,4.00,Electronics,Phones,Credit Card
B-25772,1183.00,106.00,4.00,Electronics,Printers,EMI
B-25655,74.00,-123.00,8.00,Clothing,Skirt,UPI
B-25640,1499.00,239.00,13.00,Clothing,Saree,Credit Card
B-25810,1120.00,199.00,6.00,Clothing,Saree,EMI
B-25801,15.00,-2.00,1.00,Clothing,T-shirt,Debit Card
B-26085,1487.00,624.00,3.00,Clothing,Trousers,Credit Card
B-25868,1118.00,206.00,2.00,Furniture,Tables,Credit Card
B-25714,11.00,-5.00,2.00,Clothing,Hankerchief,COD
B-25784,15.00,4.00,1.00,Clothing,Hankerchief,Debit Card
B-25608,1364.00,1864.00,5.00,Furniture,Tables,Credit Card
B-26051,1337.00,147.00,7.00,Electronics,Printers,Credit Card
B-25900,15.00,2.00,1.00,Clothing,Leggings,Debit Card
B-25760,322.00,-193.00,5.00,Electronics,Printers,UPI
B-25762,1316.00,527.00,7.00,Electronics,Electronic Games,Credit Card
B-25995,1314.00,342.00,3.00,Furniture,Bookcases,Credit Card
B-25965,17.00,7.00,3.00,Clothing,Hankerchief,Debit Card
B-25967,17.00,2.00,2.00,Clothing,Skirt,Debit Card
B-25674,17.00,-12.00,5.00,Clothing,Skirt,Debit Card
B-25929,1308.00,536.00,3.00,Furniture,Bookcases,Credit Card
B-25777,1076.00,-38.00,4.00,Electronics,Printers,Credit Card
